Q_ID;Question;R1;R2;R3;R4;R5;R6
ecop1;Quelle est la taille du parc de pâturage ?;Ne sais pas / Non applicable;Inférieur ou égal à 1Ha;> 1 Ha;> 2 Ha;> 5 Ha;NA
ecop2;A quelle distance se situe le parc de votre exploitation ?;Ne sais pas / Non applicable;< 100 m;< 1 km;< 10 km;< 20km;> 20 km
